Instruction,Response
What are pleadings in Indian legal proceedings?,Pleadings are formal written statements submitted by the parties involved in a legal case in India. They include the plaintiff's plaint (complaint) and the defendant's written statementwhich together outline the issues in disputethe claimsand the defenses. Pleadings play a crucial role in defining the scope of the case.
What is the purpose of filing a written statement in pleadings in India?,The written statementfiled by the defendantis a response to the plaintiff's plaint. Its primary purpose is to: Deny or admit the allegations made in the plaint. Raise any legal or factual defenses. Present any counterclaims against the plaintiffif applicable. Through the written statementthe defendant outlines their version of the events and their legal position regarding the case.
Are there time limits for filing pleadings in India?,Yes there are time limits for filing pleadings in Indian legal proceedings. Generallya defendant must file the written statement within 30 days from the date of service of summons or notice of the suit. Howeverextensions of time can be granted by the court for valid reasons.
Can amendments be made to pleadings in India after they are filed?,Yes amendments to pleadings can be made in India after they are filedsubject to certain conditions. The court has the discretion to allow amendments to correct defectsadd or strike out partiesor include additional facts. Howeverthe court will consider factors such as delayprejudice to the other partyand the stage of the proceedings before granting permission for amendments.
What happens if a party fails to file pleadings in India within the prescribed time?,If a party whether the plaintiff or defendantfails to file the required pleadings within the prescribed time framethe court may take various actionsincluding: Proceeding ex-parte: If the plaintiff fails to file the plaint or the defendant fails to file the written statementthe court may proceed with the case ex-partemeaning it will consider the claims or defenses of the non-defaulting party. Striking off pleadings: In certain casesthe court may strike off the pleadings of the defaulting partyeffectively preventing them from participating further in the case. It's crucial for parties to adhere to the prescribed timelines for filing pleadings to avoid adverse consequences.
What is a Power of Attorney (POA) in Indian law?,A Power of Attorney is a legal document that authorizes one person (the principal or donor) to grant legal authority to another person (the attorney-in-fact or agent) to act on their behalf in various legal and financial matters. POAs are commonly used in India for purposes such as property transactionsfinancial managementand legal representation.
What are the different types of Power of Attorney in India?,In India there are primarily two types of Power of Attorney: General Power of Attorney (GPA): This grants broad authority to the agent to act on behalf of the principal in various mattersincluding property transactionsbankingand legal proceedings. Specific Power of Attorney (SPA): This is limited in scope and grants authority for specific actions or transactionssuch as selling a particular property or signing specific documents.
Is a Power of Attorney a revocable document in India?,Yes a Power of Attorney in India is generally revocable. The principal can revoke or cancel the POA at any timeas long as they are mentally competent to do so. Revocation typically requires giving notice to the attorney-in-fact and anyone who may have relied on the POA. Recording the revocation in writing is advisable.
Are there specific formalities for executing a Power of Attorney in India?,Yes there are formalities to be followed when executing a Power of Attorney in Indiaincluding: The POA must be executed on non-judicial stamp paper of the appropriate valueas per the Stamp Act. It must be signed and dated by the principal in the presence of two witnesses. The attorney-in-fact must also sign the document in the presence of the witnesses. Registration of the POA is optional but advisableespecially for property-related matters.
Can a Power of Attorney be used for property transactions in India?,Yes a Power of Attorney can be used for property transactions in India. It is a common practice for property owners who are unable to be physically present for a sale or transfer of property to grant a POA to a trusted agent. Howeverit's essential to ensure that the POA is executed and registered correctlyand it should clearly specify the extent of authority granted to the attorney-in-fact for property-related matters.
What is a Vakalatnama in Indian legal proceedings?,A Vakalatnama is a formal document that authorizes an advocate or lawyer to act on behalf of a client in a specific case or matter. It is a written authorization given by the client to the advocateallowing the advocate to representpleadand perform legal actions on behalf of the client before the court.
What are the key components of a Vakalatnama in India?,A Vakalatnama typically includes the following key components: Details of the clientincluding their name and address. Details of the advocateincluding their nameenrollment numberand address. A clear statement of the court or tribunal before which the advocate is authorized to represent the client. The case number or title of the specific case in which the advocate is appointed. The client's signature or thumb impressionsignifying their consent and authorization.
Can a Vakalatnama be revoked or withdrawn in India?,Yesa Vakalatnama can be revoked or withdrawn by the client in India. The client has the right to change their legal representation or withdraw the authorization given to an advocate at any time during the proceedings. This typically requires filing an application or notifying the court and the advocate in writing.
Is a Vakalatnama a mandatory requirement for legal representation in Indian courts?,Yes in most casesa Vakalatnama is a mandatory requirement for legal representation in Indian courts. Advocates can represent clients effectively only after they are authorized through a Vakalatnama. Without a properly executed Vakalatnamaan advocate cannot represent a client in a court proceeding.
Can a Vakalatnama be filed electronically or through a Power of Attorney in India?,In certain casesa Vakalatnama may be filed electronicallydepending on the specific rules and practices of the court. Howeverphysical signatures and thumb impressions of the client are often required to authenticate the document. Additionallya Vakalatnama cannot be substituted by a general Power of Attorney; it is a specialized document for authorizing legal representation in a specific case and must be executed accordingly.
What is an application in the context of Indian legal proceedings?,An application is a formal written request submitted to the court seeking a specific orderreliefor action. Applications are used for various purposes in legal proceedingssuch as interim injunctionsdiscovery of documentsamendment of pleadingsand more. They are essential for advancing a case and addressing specific issues that may arise during litigation.
What are some common types of applications filed in Indian courts?,Indian courts receive a wide range of applicationsincluding: Interlocutory Applications: These seek interim relief or specific orders during the pendency of the main casesuch as injunctionsstay ordersor appointment of a receiver. Application for Amendment of Pleadings: Filed to seek permission to modify or amend the original pleadings or written statement to clarifycorrector expand on the case's content. Application for Discovery and Inspection: Filed to request the opposing party to produce certain documents or evidence for examination. Application for Review: Filed to seek a review of a judgment or order passed by a court. Application for Execution: Filed to enforce a decree or order of the courtsuch as for the recovery of money or possession of property.
What is the process for filing an application in an Indian court?,The process for filing an application in an Indian court generally involves the following steps: Drafting the application: Prepare a written application that clearly states the request or relief soughtsupported by relevant facts and legal arguments. Payment of court fees: Pay the prescribed court feesif applicablealong with the application. Filing the application: Submit the application to the appropriate court with multiple copies for service on the opposing party and the court. Service of notice: Serve notice of the application to the opposing partyallowing them an opportunity to respond. Hearing: The court schedules a hearing where both parties present their argumentsand the court may pass an appropriate order.
Can applications be filed electronically in Indian courts?,Yes many Indian courts have introduced e-filing systems that allow litigants and advocates to file applications electronically. E-filing is becoming increasingly commonespecially in higher courts and metropolitan areas. Howeverthe specific procedures and requirements for e-filing may vary by jurisdictionso it's essential to check the rules of the relevant court.
What happens if an application is not properly filed or is frivolous in Indian courts?,If an application is not filed correctlylacks meritor is deemed frivolous by the courtit may be dismissed or rejected. The court may also impose costs or penalties on the party filing the application. It is crucial for applicants to ensure that their applications are legally sound and comply with all procedural requirements to avoid such consequences.
What is an Interlocutory Application (IA) in Indian legal proceedings?,An Interlocutory Application (IA) is a formal application filed by a party to a case during its pendency to request the court to pass specific orders or provide interim relief. These applications are made to address issues that arise between the initiation of the case and its final disposal. IAs are essential for maintaining the balance of justice during ongoing litigation.
What are some common types of Interlocutory Applications filed in Indian courts?,Interlocutory Applications can take various formsincluding: Interim Injunctions: Filed to seek a temporary order restraining a party from taking certain actions until the final determination of the case. Stay of Execution: Filed to request a halt on the execution of a decree or order while an appeal is pending. Appointment of a Receiver: Filed to appoint a third-party receiver to preserve or manage property or assets during the case. Amendment of Pleadings: Filed to seek permission to amend the pleadings to clarifycorrector expand on the case's content. Release of Property: Filed to seek the release of seized or attached property during the litigation.
What is the process for filing an Interlocutory Application in an Indian court?,The process for filing an Interlocutory Application typically involves the following steps: Drafting the IA: Prepare a written application that clearly states the request for interim relief or specific orderssupported by relevant facts and legal arguments. Payment of court fees: Pay the prescribed court feesif applicablealong with the IA. Filing the IA: Submit the IA to the appropriate court with multiple copies for service on the opposing party and the court. Service of notice: Serve notice of the IA to the opposing partyallowing them an opportunity to respond. Hearing: The court schedules a hearing where both parties present their argumentsand the court may pass an appropriate interim order.
Can Interlocutory Applications be filed electronically in Indian courts?,Yesmany Indian courts have introduced e-filing systems that allow litigants and advocates to file Interlocutory Applications electronically. E-filing is becoming increasingly commonespecially in higher courts and metropolitan areas. Howeverthe specific procedures and requirements for e-filing may vary by jurisdictionso it's essential to check the rules of the relevant court.
Is the decision on an Interlocutory Application finalor can it be challenged?,The decision on an Interlocutory Application is typically considered an interim order and is subject to review or revision during the course of the case. Parties aggrieved by an interim order may file appeals or revision petitions challenging the decision. The final outcome of the case is determined at the conclusion of the main proceedings.
What is First Information Report (FIR)?,"The first information report means an information recorded by a police officer on duty given either by the aggrieved person or any other person to the commission of an alleged offence. On the basis of first information reportthe police commences its investigation.
Section 154 of the Code of Criminal Procedure1973 defines as to what amounts to first information."
Give information on FIR.,"Every information relating to the commission of a cognizable offenceif given orally to an officer-in-charge of a police stationshall be reduced to writing by him or under his directionand be read over to the informant; and every such informationwhether given in writing or reduced to writing as aforesaid shall be signed by the person giving itand the substance thereof shall be entered in a book to be kept by such officer in such form as the State Government may prescribe in this behalf.
A copy of the information as recorded under sub-section
(i) shall be given forthwithfree of costto the informant.
Any person aggrieved by a refusal on the part of an officer-
in-charge of police station to record the information referred to in sub-section (1) may send the substance of such informationin writing and by post to the Superintendent of Police concernedwho if satisfied that such information discloses the commission of a cognizable offence shall either investigate the case himself or direct an investigation to be made by any police officer subordinate to himin the manner provided by this Codeand such officer shall have all the powers of an officer-in-charge of the police station in relation to that offence.
The provision in section 154 regarding the reduction of oral statement to writing and obtaining signature of the informant to itis for the purpose of discouraging irresponsible statement about criminal offences by fixing the informant with the responsibility for the statement he makes.

Refusal by the informant to sign the first information is an offence punishable under section 180 of the Indian Penal Code. The absence of signatures on the first information report by the informanthoweveris not necessary to the extent that it will vitiate and nullify such report. The first information is still admissible in evidence.

In order to constitute an FIR in terms of section 154 of the Code. of Criminal Procedure1973 two conditions are to be fulfiUed:-
(a) what is conveyed must be an information; and
(b) that information should relate to the commission of a cognizable offence on the face of it.

In other wordsFIR is only a complaint to set the affairs of law and order in motion and it is only at the investigation stage that all the details can be gathered. In one of the judgmentsthe Madhya Pradesh High Court observed that the report of the crime which is persuading the police machinery towards starting investigation is FIRsubsequent reports are/were writtenthey are not hit under section 161 of the Code of Criminal Procedure1973 and cannot be treated as such."
Who can File an FIR?,First Information Report (FIR) can be filed by any person. He need not necessarily be the victim or the injured or an eye-witness. First Information Report may be merely hearsay and need not necessarily be given by the person who has first hand knowledge of the facts.
Why FIR should be filed promptly?,"This is the golden principle of law prescribed in the Code of Criminal Procedure1973 that the First Information Report should always be filed promptly and without wasting any time. Such type of report gains the maximum credibility and is always welcome and appreciated by the courts.

According to Supreme Court the FIR recorded promptly before the time afforded to embellish or do away with the evidence is useful. It eliminates the possible chance of giving rise to suspicion."
Is there time duration fixed for Filing an FIR?,We have already emphasized this fact that as far as possible and practicableevery FIR should invariably be filed promptlyexpeditiously and without wasting any time. There may be circumstances where some concession of time must be given in filing the FIR But there must be cogent reasons for reasonable delay in filing the FIR under the compelling circumstances. Judges with lot of wisdom and experience can use their discretion judiciously and in the interest of justice in each and every case. Howeverno possible duration of time can be fixed for applying the test of reasonableness to the lodging of an FIR as we have already explained. It depends upon facts and circumstances of each case. The delay in lodging the FIR as such is not fatal in law if the prosecution substantiated the factual difficulties encountered by the persons lodging the report.
What are the reports or statements which do not amount to be an FIR?,"Following are the reports or statements which do not amount to be an FIR:
-A report or a statement recorded after the commencement of the investigation (sections 162 and 163 of the Code of Criminal Procedure1973).
-Reports not recorded immediately but after questioning of witnesses.
-Reports recorded after several days of developments.
-Information not about occurrence of cognizable offence but only cryptic message in the form of an appeal for immediate help.
-Complaint to the Magistrate.
-Information to beat house.
-Information to the Magistrate or police officer on phone.
-Information received at police station prior to the lodging of an F.LR."
What is a court order?,A court order is a written or oral directive from a judge or court instructing someone to do something or prohibiting some act. Court orders can direct individualsgovernment agenciesorganizationsor corporations to take certain actions. For examplea court order could require someone to appear in courtpay child supportor stop harassing someone. Court orders are legally binding.
What is the purpose of a notice of hearing?,A notice of hearing is a document that informs parties in a case when a court proceeding or hearing is scheduled to take place. Notices of hearing specify the datetimelocation and purpose of the court hearing. They are issued by the court clerk on behalf of the judge. The purpose of a notice of hearing is to give all parties reasonable advanced notice of the hearing so they can prepare and attend. Parties are expected to follow orders in the notice of hearing or risk facing penalties.
What are some examples of court orders?,"Some common examples of court orders include:

Restraining orders - These prohibit someone from being near or contacting another person.
Eviction notices - These direct a tenant to vacate a property owned by a landlord.
Arrest warrants - These authorize police to arrest a person suspected of a crime.
Subpoenas - These compel someone to testify in a trial or provide documents.
Divorce decrees - These legally dissolve a marriage.
Search warrants - These allow police to search and seize property as evidence.
Contempt orders - These punish someone who disobeys a court order."
What happens if someone disobeys a court order?,"There can be serious consequences for disobeying a court orderincluding:

Contempt of court - The judge may issue a contempt of court orderwhich can result in fines or jail time.
Fines - Monetary penalties may be imposed for violating orders.
Arrest and detention - Police can arrest and detain someone for ignoring a court order like an arrest warrant or subpoena.
Lawsuits - The injured party may sue someone who doesn't follow a court order like honoring a contract.
Loss of the case - Judges can rule against parties who don't follow orders.
Jail time - Continued refusal to comply can result in jail time to coerce compliance."
How are court orders and notices communicated?,"Court orders and notices are formally communicated in various ways:

In-person announcement - The judge announces the order during court proceedings.
Mail - Documents are mailed to parties' addresses through registered post.
Hand delivery - Court officers like bailiffs may personally deliver orders.
Published notice - Orders may be published in approved law journals or newspapers.
Electronic service - Courts may send notices and orders through emailfax or other digital modes.
Court website - Some court orders are uploaded to judicial websites.
Through lawyers - Legal counsel may formally receive the order on their client's behalf."
What is a bail application?,A bail application is a petition filed by an accused person requesting release from custody during the pendency of legal proceedings. It is filed in the court where the case is pending trial or appeal. The court has discretion to grant or deny bail based on criteria like flight risktampering with evidenceprevious criminal record etc.
Who can file for bail?,A bail application can be filed by the accused person or any person on their behalflike their lawyer or family member. Bail can be sought at various stages like after arrestbefore chargesheet filingduring trialafter conviction prior to appeal etc.
What factors does the court consider for bail?,"The court considers factors like:

Nature and gravity of the alleged offense
Evidence against the accused
Background and ties to the community
Criminal record and tendency to commit crimes
Probability of fleeing the jurisdiction
Previous grants or denial of bail
Health condition if bail is needed for treatment
Age and gender of the accused"
What conditions can be imposed by the court while granting bail?,"While granting bailthe court may impose conditions on the accused to ensure appearance in courtlike:

Requiring a bail bond and security deposit
Directing periodic appearances before police/court
Surrendering passport to restrict travel abroad
Avoiding contact with prosecution witnesses
Avoiding specific locations like victim's home
Regular reporting to police station
Written undertaking to abide by court orders"
When can bail be denied?,"Bail may be denied by the courts in cases where:

The accused can tamper with evidence if released
There is high risk of accused fleeing the jurisdiction
The accused can influence prosecution witnesses
Previous bail has been misused/violated by the accused
The accused has been convicted of a heinous crime
The court believes release of accused could disturb public order"
What is a writ petition?,A writ petition is a formal request filed with a High Court or the Supreme Court under Article 226 or Article 32 of the Constitution of India respectively. The purpose of a writ petition is to seek remedy or relief in case of violation of fundamental rights or breach of statutory provisions. It is an extraordinary recourse available to an aggrieved party when the usual judicial and administrative options are not effective. A writ petition can be filed against the governmentits agencies or public officials requesting them to perform their duties or challenging their unconstitutional actions. The High Court or Supreme Court can issue writs after examining the legality of the issue.
What are the different types of writs?,There are five main types of writs under the Constitution of India that a petitioner can request the High Court or Supreme Court to issue through a writ petition. The first is a Habeas Corpus writ used to produce a person who is illegally detained before the court. The second writ is Mandamus which compels government agencies to perform statutory duties. Third is Prohibition which prohibits unlawful activities by public bodies. The fourth type is Quo Warranto applied to prevent public offices from misuse of power. LastlyCertiorari is used to quash arbitrary orders or judgments and direct certification of records.
Who can file a writ petition and against whom?,A writ petition can be filed by any aggrieved person whose fundamental right has been violated. This includes private individualsorganizationsor even the government itself. It is usually filed against the governmentits departmentspublic officials or statutory bodies that are not performing duties mandated by law or have infringed on constitutionally guaranteed fundamental rights through arbitrary actions. Howevera writ petition cannot be filed against a private party or organization that is not a government agency. The case must involve a substantial public interest question.
In which courts can a writ petition be filed?,In Indiaa writ petition can be filed either with the High Court of the state where the cause of action arises or directly with the Supreme Court. Each High Court holds writ jurisdiction over government agencies and officials located within its territorial jurisdiction. State-specific issues are first heard by respective High Court. The Supreme Court has concurrent original jurisdiction all over India. When substantial national public importance questions are involvedwrit petitions can be directly filed with the Supreme Court.
What is the procedure for filing a writ petition?,The procedure for filing a writ petition involves first sending a notice to concerned authorities regarding the grievance. After giving them reasonable time to responda writ petition can be filed stating the violation of fundamental rights and legal provisions. This is done through an advocate-on-record in the prescribed format along with affidavits and documents supporting the case. The registry will examine the petition and place it before the appropriate High Court Bench or Supreme Court Bench which will hear arguments before passing judgment. Interim orders may be given for immediate relief. The entire process usually takes a few months from start to the final disposal through judgment.
What is a review petition?,A review petition is an application that can be filed by any party to a case requesting the court to review its own final judgment or order. It is filed in the same court that passed the original order or judgment which is sought to be reviewed. The review petition is filed under specific provisions like Order XLVII Rule 1 of Civil Procedure Code or Article 137 of the Constitution of India. The objective is to point out an error or omission in the decision and seek rectification or reversal from the court.
What are the grounds on which a review petition can be filed?,A review petition can be filed only on limited grounds. These grounds include - discovery of new evidence not available during original proceedingsan apparent error on the face of the recordfailure to consider material evidence or documentsor any other sufficient causes like conflicting judgments of the same court. The review petition cannot be filed merely because the petitioner is dissatisfied with the decision or wants reconsideration of the entire case.
When can a review petition be filed?,The Civil Procedure Code sets a limitation period of 30 days for filing a review petition from the date of the original judgmentwhile the Supreme Court Rules stipulate a period of 30 days from the date of order/judgment. In extraordinary casesthe court may condone a delay in filing the review on valid grounds. Howeverthere is no extension to file a review beyond this limitation period. The review petition must indicate the grounds clearly and should be accompanied by supporting documents.
How does a court deal with a review petition?,When a review petition is filedthe court considers it only on the basis of pleadings and documents on record. No fresh evidence can be presented at this stage. If the grounds for review are found unsatisfactorythe court may dismiss the review petition without issuing notice to the opposite party. If a prima facie case for review is made outnotice is issued to the opposite party to seek response. After hearing argumentsthe court may altermodify or reverse the earlier judgment as deemed fit.
Is a review petition easily allowed by courts?,No courts allow review petitions only in rare cases where serious irregularity is shown on the face of the record. The right to file a review is not an inherent right but granted under specific statutes. Mere disagreement with the decision is not adequate grounds for review. The review jurisdiction is exercised sparingly with courts adopting a strict approach while entertaining review petitions. They are not treated as appeals in disguise and cannot be filed repeatedly on the same issue.
What is an appeal memorandum?,An appeal memorandum is a document filed by an aggrieved party before the appellate court to challenge the final judgment or order passed by a lower court in a case. It contains grounds of appeal explaining how the impugned judgment is unsustainable in law and sets out reasons seeking its reversalmodification or remand for fresh consideration. The right to appeal is statutory and appeal memorandum is filed under relevant laws like Section 96 of the Code of Civil Procedure or Section 374 of Code of Criminal Procedure in India.
What are the contents of an appeal memorandum?,The appeal memorandum specifies details like cause titlecourt particularscase backgroundsummary of impugned judgmentlegal grounds for appeal with applicable statutes and precedentscertified copy of judgmentprayer seeking reversal or modificationappeal court fees and numbered list of annexures. It frames legal questions on which the appellant seeks the higher court's ruling after pointing out errors in lower court’s decision.
When can a revision petition be filed?,A revision petition can be filed under Section 397 of CrPC and Section 115 of CPC before the High Court by any person aggrieved by an order of a lower court. The grounds are illegalityirregularity in procedurefailure of justice or jurisdictional excess. It seeks revision of the lower court’s order but is not an appeal and is filed on comparatively narrower grounds within prescribed limitation period.
What are the powers of the appellate court?,The appellate court exercises statutory powers under civil and criminal procedure codes. It can upholdreversemodify or remand the lower court decision. It can condone delayorder retrialspermit new grounds/evidence or impose costs. Interim orders may be passed for stay on execution of decrees. Final judgment of reversal or modification is passed based on merit after hearing appeal arguments.
When can an appeal or revision be dismissed?,Appeal or revision may be dismissed by appellate court if there are no sufficient groundsdelay in filing is not condonedappeal memorandum is defectiverequired court fees are not paid or statutory limitations are exceeded. Dismissal can also happen if appellant remains absent despite notice. Final lower court order remains in force if appeal/revision is dismissed.
What is an execution petition?,An execution petition is an application filed by a decree holder before the court that passed the decreeseeking enforcement of the judgment whereby money or other relief is granted to the decree holder. It is filed when the judgment debtor fails to voluntarily satisfy the decree within the specified time. The court then initiates the execution process under Order XXI of Civil Procedure Code to recover the decree amount.
Who can file an execution petition and when?,The decree holderon failure of judgment debtor to satisfy the decreecan file the execution petition. It can be filed anytime within 12 years from the date of decree under Section 47 of CPC. Howeverleave of court is required in certain cases. The petition must contain details of the decreethe amount dueprayer for attachment and sale of propertyand applications for civil imprisonmentgarnishee order etc.
What does the court do after receiving the execution petition?,The court scrutinizes the petition and can order the judgment debtor to pay within an allocated time. Otherwiseit attaches the judgment debtor's properties that may be sold in public auction to satisfy the decree. Sale proclamation is issued and court can also order arrest and detention in civil prison in case of sums payable under decree. Any objection raised by judgment debtor against execution is decided by the court.
What modes of execution can the court order?,The court can order execution by delivery of propertyattachment and sale of movable of immovable propertyarrest and detention in prisonappointment of receiverpayment by installmentsgarnishee orders against third party fundssetting off decretal amountsarrest before judgment etc. as per Code of Civil Procedure provisions.
When can the court impose stay or stop execution?,The court may temporarily stay execution proceedings on grounds of appeal pending against the decreedecree being adjusted in cross claims or fresh suitsthird party claims on attached propertypart payment of decretal amount by judgment debtor or security furnished. Execution can be struck off on grounds like decree being fully satisfied or set aside in appeal. But dismissal does not debar fresh execution petition.
What is a judgment?,A judgmentas defined under Section 2(9) of the Code of Civil Procedureis the final decision or determination of a court on the issues framed and raised between the parties to a suit. It concludes the trial proceedings and decides on the case based on applicable laws to the facts presented before the court. It encompasses reasons and grounds for the decision on each issue. It is the end product of the adjudication process settling the dispute between the parties.
What are the contents of a judgment?,The contents of a judgment include case detailssummary of pleadings by both sidesframing of point-wise issuesevidence analysisapplicable legal provisionsprevious case laws relied uponreasoning and conclusions on each issueoperative part containing the final decision and reliefs grantedimposition of costs if anydatejudge's signature and court seal. Minor corrections are permissible.
What is a decree? How is it different from judgment?,A decreeas per Section 2(2) of the CPCis the formal expression of the adjudication. It contains the operative part of the judgmentstating rights and liabilities of parties as determined by the court. It lays down the remedy granted by the court to the successful party. While judgment is detailed reasonsa decree briefly states the final reliefs. Decree can be preliminary or final. Appeal is filed against decree.
What are the different kinds of decrees?,Decrees can be preliminaryfinalor executable. Preliminary decree declares rights of parties leaving further proceedings for future. Final decree completes the suit. Partly preliminary and partly final decrees are also possible. An executable decree can be directly enforced and executed by the beneficiary. Conditional decrees impose certain conditions.
